#   Source : patch atmosphere
#   Faces  : 882
#   Area   : 3.500000e+001
#        Time	sum(rhoPhi)
3.333333e-002	3.559691e+003
5.000000e-002	1.295611e+003
6.500000e-002	1.555051e+003
8.000000e-002	1.889269e+003
9.500000e-002	2.210588e+003
1.100000e-001	2.475562e+003
1.250000e-001	2.727228e+003
1.400000e-001	2.959187e+003
1.550000e-001	3.161527e+003
1.700000e-001	3.391130e+003
1.850000e-001	3.650892e+003
2.000000e-001	3.968568e+003
2.166667e-001	4.317943e+003
2.350000e-001	4.690315e+003
2.556250e-001	5.150213e+003
2.736719e-001	5.500373e+003
2.894629e-001	5.768107e+003
3.032800e-001	6.001368e+003
3.170972e-001	6.233119e+003
3.309143e-001	6.494382e+003
3.447314e-001	6.710519e+003
3.585486e-001	6.940930e+003
3.723657e-001	7.121075e+003
3.861829e-001	7.274469e+003
4.000000e-001	7.437461e+003
4.142857e-001	7.601893e+003
4.275510e-001	7.733156e+003
4.408163e-001	7.860270e+003
4.552876e-001	7.984096e+003
4.713667e-001	8.179090e+003
4.874459e-001	8.382847e+003
5.015152e-001	8.514670e+003
5.155844e-001	8.608782e+003
5.296537e-001	8.738849e+003
5.437229e-001	8.897466e+003
5.577922e-001	9.120220e+003
5.718615e-001	9.214779e+003
5.859307e-001	9.197965e+003
6.000000e-001	9.153640e+003
6.142857e-001	9.097978e+003
6.285714e-001	8.989343e+003
6.428571e-001	8.820568e+003
6.559524e-001	8.624958e+003
6.690476e-001	8.455737e+003
6.821429e-001	8.296170e+003
6.952381e-001	8.161191e+003
7.083333e-001	8.034030e+003
7.214286e-001	7.900040e+003
7.345238e-001	7.768653e+003
7.476190e-001	7.654839e+003
7.607143e-001	7.585503e+003
7.738095e-001	7.551916e+003
7.825397e-001	7.450776e+003
7.912698e-001	7.446133e+003
8.000000e-001	7.471880e+003
8.100000e-001	7.555058e+003
8.211765e-001	7.666620e+003
8.330980e-001	7.746946e+003
8.459367e-001	7.873718e+003
8.599424e-001	8.004398e+003
8.755044e-001	8.188159e+003
8.910663e-001	8.305132e+003
9.066283e-001	8.398480e+003
9.221902e-001	8.481091e+003
9.377522e-001	8.557757e+003
9.533141e-001	8.570739e+003
9.688761e-001	8.565007e+003
9.844380e-001	8.578530e+003
1.000000e+000	8.564076e+003
1.016667e+000	8.444134e+003
1.035000e+000	8.316706e+003
1.048750e+000	8.181705e+003
1.062500e+000	8.049593e+003
1.076250e+000	7.922015e+003
1.086562e+000	7.744060e+003
1.096016e+000	7.629254e+003
1.105469e+000	7.596597e+003
1.115972e+000	7.595517e+003
1.127976e+000	7.609872e+003
1.139980e+000	7.561611e+003
1.151984e+000	7.485148e+003
1.163988e+000	7.398260e+003
1.175992e+000	7.332939e+003
1.187996e+000	7.315604e+003
1.200000e+000	7.321919e+003
1.214286e+000	7.369609e+003
1.229762e+000	7.392168e+003
1.246786e+000	7.387521e+003
1.263810e+000	7.354226e+003
1.280833e+000	7.283798e+003
1.297857e+000	7.237985e+003
1.314881e+000	7.232902e+003
1.331905e+000	7.201303e+003
1.345524e+000	7.103723e+003
1.359143e+000	7.059714e+003
1.372762e+000	7.018050e+003
1.386381e+000	6.998572e+003
1.400000e+000	7.010695e+003
1.415385e+000	7.045567e+003
1.432168e+000	7.073206e+003
1.448951e+000	7.110856e+003
1.464056e+000	7.084451e+003
1.477650e+000	7.046242e+003
1.491245e+000	7.033536e+003
1.504839e+000	7.055585e+003
1.518434e+000	7.069611e+003
1.532028e+000	7.076663e+003
1.545622e+000	7.069786e+003
1.559217e+000	7.013748e+003
1.569413e+000	6.873359e+003
1.579608e+000	6.807981e+003
1.589804e+000	6.754608e+003
1.600000e+000	6.709170e+003
1.611111e+000	6.707782e+003
1.623704e+000	6.751393e+003
1.637265e+000	6.780962e+003
1.652059e+000	6.800798e+003
1.666853e+000	6.818526e+003
1.681647e+000	6.866134e+003
1.696441e+000	6.927327e+003
1.711235e+000	6.941606e+003
1.726030e+000	6.927125e+003
