#   Source : patch atmosphere
#   Faces  : 7880
#   Area   : 3.500000e+001
#        Time	sum(rhoPhi)
1.666667e-002	6.879453e+002
2.500000e-002	3.118710e+002
3.333333e-002	4.519836e+002
3.888889e-002	5.158043e+002
4.444444e-002	5.560629e+002
5.000000e-002	5.749734e+002
5.625000e-002	5.823306e+002
6.250000e-002	5.868509e+002
6.875000e-002	5.933587e+002
7.500000e-002	6.019822e+002
8.125000e-002	6.106172e+002
8.750000e-002	6.188161e+002
9.375000e-002	6.269486e+002
1.000000e-001	6.356307e+002
1.071429e-001	6.433013e+002
1.142857e-001	6.501593e+002
1.214286e-001	6.524142e+002
1.285714e-001	6.526469e+002
1.357143e-001	6.509400e+002
1.428571e-001	6.471641e+002
1.500000e-001	6.452896e+002
1.571429e-001	6.424593e+002
1.642857e-001	6.431527e+002
1.714286e-001	6.428246e+002
1.785714e-001	6.439005e+002
1.857143e-001	6.443328e+002
1.928571e-001	6.448810e+002
2.000000e-001	6.468717e+002
2.071429e-001	6.489810e+002
2.142857e-001	6.503047e+002
2.214286e-001	6.506836e+002
2.285714e-001	6.514844e+002
2.357143e-001	6.506344e+002
2.428571e-001	6.520497e+002
2.500000e-001	6.539469e+002
2.571429e-001	6.557293e+002
2.642857e-001	6.566960e+002
2.714286e-001	6.575635e+002
2.785714e-001	6.574451e+002
2.839286e-001	6.585877e+002
2.892857e-001	6.565158e+002
2.946429e-001	6.577886e+002
2.973214e-001	6.573241e+002
3.000000e-001	6.521021e+002
3.031250e-001	6.544502e+002
3.067308e-001	6.614035e+002
3.106643e-001	6.667374e+002
3.150350e-001	6.710939e+002
3.194056e-001	6.744192e+002
3.237762e-001	6.764650e+002
3.275225e-001	6.779970e+002
3.312687e-001	6.781578e+002
3.350150e-001	6.798403e+002
3.387612e-001	6.819396e+002
3.425075e-001	6.841382e+002
3.462537e-001	6.856426e+002
3.481269e-001	6.846933e+002
3.500000e-001	6.793378e+002
3.521739e-001	6.806801e+002
3.546911e-001	6.838736e+002
3.575229e-001	6.879339e+002
3.605570e-001	6.917238e+002
3.638439e-001	6.944484e+002
3.674595e-001	6.984432e+002
3.707135e-001	7.017284e+002
3.739676e-001	7.034278e+002
3.768601e-001	7.058288e+002
3.791741e-001	7.060118e+002
3.812567e-001	7.050197e+002
3.833393e-001	7.055427e+002
3.854219e-001	7.082034e+002
3.875044e-001	7.108671e+002
3.895870e-001	7.125636e+002
3.916696e-001	7.130879e+002
3.937522e-001	7.132761e+002
3.958348e-001	7.127845e+002
3.979174e-001	7.121205e+002
4.000000e-001	7.115497e+002
4.023810e-001	7.121183e+002
4.050265e-001	7.134976e+002
4.075250e-001	7.142836e+002
4.101797e-001	7.134680e+002
4.130240e-001	7.141272e+002
4.158683e-001	7.138525e+002
4.189712e-001	7.113279e+002
4.217920e-001	7.086070e+002
4.243563e-001	7.047386e+002
4.269207e-001	7.020983e+002
