#   Source : patch inlet
#   Faces  : 91
#   Area   : 3.750000e+000
#        Time	sum(rhoPhi)
3.333333e-002	-2.000000e+004
5.000000e-002	-2.000000e+004
6.500000e-002	-2.000000e+004
8.000000e-002	-2.000000e+004
9.500000e-002	-2.000000e+004
1.100000e-001	-2.000000e+004
1.250000e-001	-2.000000e+004
1.400000e-001	-2.000000e+004
1.550000e-001	-2.000000e+004
1.700000e-001	-2.000000e+004
1.850000e-001	-2.000000e+004
2.000000e-001	-2.000000e+004
2.166667e-001	-2.000000e+004
2.350000e-001	-2.000000e+004
2.556250e-001	-2.000000e+004
2.736719e-001	-2.000000e+004
2.894629e-001	-2.000000e+004
3.032800e-001	-2.000000e+004
3.170972e-001	-2.000000e+004
3.309143e-001	-2.000000e+004
3.447314e-001	-2.000000e+004
3.585486e-001	-2.000000e+004
3.723657e-001	-2.000000e+004
3.861829e-001	-2.000000e+004
4.000000e-001	-2.000000e+004
4.142857e-001	-2.000000e+004
4.275510e-001	-2.000000e+004
4.408163e-001	-2.000000e+004
4.552876e-001	-2.000000e+004
4.713667e-001	-2.000000e+004
4.874459e-001	-2.000000e+004
5.015152e-001	-2.000000e+004
5.155844e-001	-2.000000e+004
5.296537e-001	-2.000000e+004
5.437229e-001	-2.000000e+004
5.577922e-001	-2.000000e+004
5.718615e-001	-2.000000e+004
5.859307e-001	-2.000000e+004
6.000000e-001	-2.000000e+004
6.142857e-001	-2.000000e+004
6.285714e-001	-2.000000e+004
6.428571e-001	-2.000000e+004
6.559524e-001	-2.000000e+004
6.690476e-001	-2.000000e+004
6.821429e-001	-2.000000e+004
6.952381e-001	-2.000000e+004
7.083333e-001	-2.000000e+004
7.214286e-001	-2.000000e+004
7.345238e-001	-2.000000e+004
7.476190e-001	-2.000000e+004
7.607143e-001	-2.000000e+004
7.738095e-001	-2.000000e+004
7.825397e-001	-2.000000e+004
7.912698e-001	-2.000000e+004
8.000000e-001	-2.000000e+004
8.100000e-001	-2.000000e+004
8.211765e-001	-2.000000e+004
8.330980e-001	-2.000000e+004
8.459367e-001	-2.000000e+004
8.599424e-001	-2.000000e+004
8.755044e-001	-2.000000e+004
8.910663e-001	-2.000000e+004
9.066283e-001	-2.000000e+004
9.221902e-001	-2.000000e+004
9.377522e-001	-2.000000e+004
9.533141e-001	-2.000000e+004
9.688761e-001	-2.000000e+004
9.844380e-001	-2.000000e+004
1.000000e+000	-2.000000e+004
1.016667e+000	-2.000000e+004
1.035000e+000	-2.000000e+004
1.048750e+000	-2.000000e+004
1.062500e+000	-2.000000e+004
1.076250e+000	-2.000000e+004
1.086562e+000	-2.000000e+004
1.096016e+000	-2.000000e+004
1.105469e+000	-2.000000e+004
1.115972e+000	-2.000000e+004
1.127976e+000	-2.000000e+004
1.139980e+000	-2.000000e+004
1.151984e+000	-2.000000e+004
1.163988e+000	-2.000000e+004
1.175992e+000	-2.000000e+004
1.187996e+000	-2.000000e+004
1.200000e+000	-2.000000e+004
1.214286e+000	-2.000000e+004
1.229762e+000	-2.000000e+004
1.246786e+000	-2.000000e+004
1.263810e+000	-2.000000e+004
1.280833e+000	-2.000000e+004
1.297857e+000	-2.000000e+004
1.314881e+000	-2.000000e+004
