#   Source : patch inlet
#   Faces  : 842
#   Area   : 3.750000e+000
#        Time	sum(rhoPhi)
1.666667e-002	-1.000000e+004
2.500000e-002	-1.000000e+004
3.333333e-002	-1.000000e+004
3.888889e-002	-1.000000e+004
4.444444e-002	-1.000000e+004
5.000000e-002	-1.000000e+004
5.625000e-002	-1.000000e+004
6.250000e-002	-1.000000e+004
6.875000e-002	-1.000000e+004
7.500000e-002	-1.000000e+004
8.125000e-002	-1.000000e+004
8.750000e-002	-1.000000e+004
9.375000e-002	-1.000000e+004
1.000000e-001	-1.000000e+004
1.071429e-001	-1.000000e+004
1.142857e-001	-1.000000e+004
1.214286e-001	-1.000000e+004
1.285714e-001	-1.000000e+004
1.357143e-001	-1.000000e+004
1.428571e-001	-1.000000e+004
1.500000e-001	-1.000000e+004
1.571429e-001	-1.000000e+004
1.642857e-001	-1.000000e+004
1.714286e-001	-1.000000e+004
1.785714e-001	-1.000000e+004
1.857143e-001	-1.000000e+004
1.928571e-001	-1.000000e+004
2.000000e-001	-1.000000e+004
2.071429e-001	-1.000000e+004
2.142857e-001	-1.000000e+004
2.214286e-001	-1.000000e+004
2.285714e-001	-1.000000e+004
2.357143e-001	-1.000000e+004
2.428571e-001	-1.000000e+004
2.500000e-001	-1.000000e+004
2.571429e-001	-1.000000e+004
2.642857e-001	-1.000000e+004
2.714286e-001	-1.000000e+004
2.785714e-001	-1.000000e+004
2.839286e-001	-1.000000e+004
2.892857e-001	-1.000000e+004
2.946429e-001	-1.000000e+004
2.973214e-001	-1.000000e+004
3.000000e-001	-1.000000e+004
3.031250e-001	-1.000000e+004
3.067308e-001	-1.000000e+004
3.106643e-001	-1.000000e+004
3.150350e-001	-1.000000e+004
3.194056e-001	-1.000000e+004
3.237762e-001	-1.000000e+004
3.275225e-001	-1.000000e+004
3.312687e-001	-1.000000e+004
3.350150e-001	-1.000000e+004
3.387612e-001	-1.000000e+004
3.425075e-001	-1.000000e+004
3.462537e-001	-1.000000e+004
3.481269e-001	-1.000000e+004
3.500000e-001	-1.000000e+004
3.521739e-001	-1.000000e+004
3.546911e-001	-1.000000e+004
3.575229e-001	-1.000000e+004
3.605570e-001	-1.000000e+004
3.638439e-001	-1.000000e+004
3.674595e-001	-1.000000e+004
3.707135e-001	-1.000000e+004
3.739676e-001	-1.000000e+004
3.768601e-001	-1.000000e+004
3.791741e-001	-1.000000e+004
3.812567e-001	-1.000000e+004
3.833393e-001	-1.000000e+004
3.854219e-001	-1.000000e+004
3.875044e-001	-1.000000e+004
3.895870e-001	-1.000000e+004
3.916696e-001	-1.000000e+004
3.937522e-001	-1.000000e+004
3.958348e-001	-1.000000e+004
3.979174e-001	-1.000000e+004
4.000000e-001	-1.000000e+004
4.023810e-001	-1.000000e+004
4.050265e-001	-1.000000e+004
4.075250e-001	-1.000000e+004
4.101797e-001	-1.000000e+004
4.130240e-001	-1.000000e+004
4.158683e-001	-1.000000e+004
4.189712e-001	-1.000000e+004
4.217920e-001	-1.000000e+004
