#   Source : patch outlet1
#   Faces  : 91
#   Area   : 3.750000e+000
#        Time	sum(rhoPhi)
3.333333e-002	0.000000e+000
5.000000e-002	2.122206e+000
6.500000e-002	5.894432e+000
8.000000e-002	7.516287e+000
9.500000e-002	2.002604e+001
1.100000e-001	1.530332e+001
1.250000e-001	3.210511e+001
1.400000e-001	2.262494e+001
1.550000e-001	4.513005e+001
1.700000e-001	3.422554e+001
1.850000e-001	5.545602e+001
2.000000e-001	4.148168e+001
2.166667e-001	5.913424e+001
2.350000e-001	4.394451e+001
2.556250e-001	5.630222e+001
2.736719e-001	4.077974e+001
2.894629e-001	4.787038e+001
3.032800e-001	3.852640e+001
3.170972e-001	4.382597e+001
3.309143e-001	3.757852e+001
3.447314e-001	4.296184e+001
3.585486e-001	3.571403e+001
3.723657e-001	4.258673e+001
3.861829e-001	3.326883e+001
4.000000e-001	4.271095e+001
4.142857e-001	3.149463e+001
4.275510e-001	4.279704e+001
4.408163e-001	2.874967e+001
4.552876e-001	4.508508e+001
4.713667e-001	2.907858e+001
4.874459e-001	4.853390e+001
5.015152e-001	2.644985e+001
5.155844e-001	4.726513e+001
5.296537e-001	2.443422e+001
5.437229e-001	4.509158e+001
5.577922e-001	1.981246e+001
5.718615e-001	4.306999e+001
5.859307e-001	1.569458e+001
6.000000e-001	4.145150e+001
6.142857e-001	1.342624e+001
6.285714e-001	4.019000e+001
6.428571e-001	1.279938e+001
6.559524e-001	3.821986e+001
6.690476e-001	1.229358e+001
6.821429e-001	3.571182e+001
6.952381e-001	1.309524e+001
7.083333e-001	3.543912e+001
7.214286e-001	1.592512e+001
7.345238e-001	3.687339e+001
7.476190e-001	2.120146e+001
7.607143e-001	4.080626e+001
7.738095e-001	2.647870e+001
7.825397e-001	4.372524e+001
7.912698e-001	2.971715e+001
8.000000e-001	4.570006e+001
8.100000e-001	3.230319e+001
8.211765e-001	4.732325e+001
8.330980e-001	3.456613e+001
8.459367e-001	5.106498e+001
8.599424e-001	3.791564e+001
8.755044e-001	5.493978e+001
8.910663e-001	4.170873e+001
9.066283e-001	5.703677e+001
9.221902e-001	4.603642e+001
9.377522e-001	5.979179e+001
9.533141e-001	5.120087e+001
9.688761e-001	6.314945e+001
9.844380e-001	5.793747e+001
1.000000e+000	6.789842e+001
1.016667e+000	6.902131e+001
1.035000e+000	9.114840e+001
1.048750e+000	1.469741e+002
1.062500e+000	2.812379e+002
1.076250e+000	4.529617e+002
1.086562e+000	5.763809e+002
1.096016e+000	6.201530e+002
1.105469e+000	5.814355e+002
1.115972e+000	5.251678e+002
1.127976e+000	5.210402e+002
1.139980e+000	5.700101e+002
1.151984e+000	6.293620e+002
1.163988e+000	7.223136e+002
1.175992e+000	7.541364e+002
1.187996e+000	8.105127e+002
1.200000e+000	8.382596e+002
1.214286e+000	9.326273e+002
1.229762e+000	9.971290e+002
1.246786e+000	1.048619e+003
1.263810e+000	1.055767e+003
1.280833e+000	1.130340e+003
1.297857e+000	1.218787e+003
1.314881e+000	1.383039e+003
1.331905e+000	1.532750e+003
1.345524e+000	1.698698e+003
1.359143e+000	1.828498e+003
1.372762e+000	1.952644e+003
1.386381e+000	1.965498e+003
1.400000e+000	1.940638e+003
1.415385e+000	1.954174e+003
1.432168e+000	2.020946e+003
1.448951e+000	2.109313e+003
1.464056e+000	2.241491e+003
1.477650e+000	2.326252e+003
1.491245e+000	2.455477e+003
1.504839e+000	2.567211e+003
1.518434e+000	2.697468e+003
1.532028e+000	2.814002e+003
1.545622e+000	2.962939e+003
1.559217e+000	3.113881e+003
1.569413e+000	3.226076e+003
1.579608e+000	3.361728e+003
1.589804e+000	3.526543e+003
1.600000e+000	3.666626e+003
1.611111e+000	3.863691e+003
1.623704e+000	4.051201e+003
1.637265e+000	4.233255e+003
1.652059e+000	4.377906e+003
1.666853e+000	4.508304e+003
1.681647e+000	4.604916e+003
1.696441e+000	4.691746e+003
1.711235e+000	4.746447e+003
1.726030e+000	4.877862e+003
1.740824e+000	5.003778e+003
1.755618e+000	5.208591e+003
1.770412e+000	5.347032e+003
1.785206e+000	5.522245e+003
1.800000e+000	5.582773e+003
1.816667e+000	5.682499e+003
1.835000e+000	5.708100e+003
1.855625e+000	5.894354e+003
1.876250e+000	6.102855e+003
1.896875e+000	6.358302e+003
1.917500e+000	6.583699e+003
1.934000e+000	6.727163e+003
1.950500e+000	6.873165e+003
1.967000e+000	7.044859e+003
1.983500e+000	7.219718e+003
2.000000e+000	7.416562e+003
2.018182e+000	7.576475e+003
2.038384e+000	7.670486e+003
2.058586e+000	7.712273e+003
2.078788e+000	7.735756e+003
2.096104e+000	7.760633e+003
2.113420e+000	7.856029e+003
2.130736e+000	7.975272e+003
2.148052e+000	8.192872e+003
2.165368e+000	8.379726e+003
2.182684e+000	8.649035e+003
2.200000e+000	8.836614e+003
2.218182e+000	9.095859e+003
2.238384e+000	9.312126e+003
2.258586e+000	9.599238e+003
2.278788e+000	9.810877e+003
2.298990e+000	1.008727e+004
2.319192e+000	1.027705e+004
2.339394e+000	1.050302e+004
2.359596e+000	1.060929e+004
2.379798e+000	1.075648e+004
2.400000e+000	1.080906e+004
2.422222e+000	1.094701e+004
2.444444e+000	1.101615e+004
2.466667e+000	1.116988e+004
2.488889e+000	1.127734e+004
2.511111e+000	1.147702e+004
2.533333e+000	1.160171e+004
