#   Source : patch outlet1
#   Faces  : 832
#   Area   : 3.750000e+000
#        Time	sum(rhoPhi)
1.666667e-002	0.000000e+000
2.500000e-002	-2.405019e-001
3.333333e-002	3.925050e+000
3.888889e-002	2.656426e+000
4.444444e-002	5.920787e+000
5.000000e-002	4.288988e+000
5.625000e-002	7.660780e+000
6.250000e-002	6.332196e+000
6.875000e-002	9.710379e+000
7.500000e-002	8.266203e+000
8.125000e-002	1.148411e+001
8.750000e-002	9.244819e+000
9.375000e-002	1.241380e+001
1.000000e-001	1.002975e+001
1.071429e-001	1.319257e+001
1.142857e-001	1.094832e+001
1.214286e-001	1.407696e+001
1.285714e-001	1.177792e+001
1.357143e-001	1.477335e+001
1.428571e-001	1.247127e+001
1.500000e-001	1.537645e+001
1.571429e-001	1.284374e+001
1.642857e-001	1.546624e+001
1.714286e-001	1.257008e+001
1.785714e-001	1.484943e+001
1.857143e-001	1.250304e+001
1.928571e-001	1.447099e+001
2.000000e-001	1.244426e+001
2.071429e-001	1.436451e+001
2.142857e-001	1.220253e+001
2.214286e-001	1.412997e+001
2.285714e-001	1.200819e+001
2.357143e-001	1.410098e+001
2.428571e-001	1.221066e+001
2.500000e-001	1.474441e+001
2.571429e-001	1.281804e+001
2.642857e-001	1.559072e+001
2.714286e-001	1.361702e+001
2.785714e-001	1.619559e+001
2.839286e-001	1.412971e+001
2.892857e-001	1.643991e+001
2.946429e-001	1.456999e+001
2.973214e-001	1.649586e+001
3.000000e-001	1.476614e+001
3.031250e-001	1.677448e+001
3.067308e-001	1.512649e+001
3.106643e-001	1.704197e+001
3.150350e-001	1.543080e+001
3.194056e-001	1.722507e+001
3.237762e-001	1.562662e+001
3.275225e-001	1.727519e+001
3.312687e-001	1.569767e+001
3.350150e-001	1.725796e+001
3.387612e-001	1.571336e+001
3.425075e-001	1.728048e+001
3.462537e-001	1.568019e+001
3.481269e-001	1.711173e+001
3.500000e-001	1.552165e+001
3.521739e-001	1.713189e+001
3.546911e-001	1.552693e+001
3.575229e-001	1.716961e+001
3.605570e-001	1.545765e+001
3.638439e-001	1.715494e+001
3.674595e-001	1.532146e+001
3.707135e-001	1.705147e+001
3.739676e-001	1.499829e+001
3.768601e-001	1.689828e+001
3.791741e-001	1.463065e+001
3.812567e-001	1.680726e+001
3.833393e-001	1.442677e+001
3.854219e-001	1.680177e+001
3.875044e-001	1.432955e+001
